"placa","h_perm_front","anoModelo","categoria","cor","dataEmissaoCrv","descricaoTipoDocumentoProprietario","marcaModelo","municipioEmplacamento","tipo","ufEmplacamento","descricao","ilicito"
"veiculo01",2.227,2021,"ALUGUEL","AZUL",1631070000000,"CNPJ","SCANIA/R450 A6X2","FOZ DO IGUACU","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo02",1.723,2008,"PARTICULAR","VERMELHA",1712286000000,"CPF","GM/CELTA 2P LIFE","BRASILIA","AUTOMOVEL","DF","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo03",22.702,2005,"PARTICULAR","PRATA",1517968800000,"CPF","GM/CELTA 4P LIFE","BRUSQUE","AUTOMOVEL","SC","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo04",13.781,2015,"ALUGUEL","BRANCA",1417053600000,"CNPJ","SCANIA/MPOLO PARADISO DD","FLORIANOPOLIS","ONIBUS","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo05",4.937,2016,"ALUGUEL","BRANCA",1452736800000,"CNPJ","VOLVO/MPOLO PARADISO LD","PONTA GROSSA","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo06",21.229,2010,"PARTICULAR","PRATA",1637290800000,"CPF","GM/CELTA 4P SPIRIT","CASCAVEL","AUTOMOVEL","PR","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo07",5.819,2015,"ALUGUEL","PRATA",1449453600000,"CNPJ","MBENZ/MPOLO PARADISO LD","LONDRINA","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo08",22.252,2021,"PARTICULAR","BRANCA",1646794800000,"CPF","I/VW AMAROK V6 HIGH AD4","RANCHARIA","CAMINHONETE","SP","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo09",19.373,2022,"PARTICULAR","CINZA",1712199600000,"CPF","FIAT/TORO FREED TURB AT6","ITUMBIARA","CAMINHONETE","GO","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo10",6.301,1998,"PARTICULAR","BRANCA",1609729200000,"CPF","VW/GOL 16V","FOZ DO IGUACU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo11",2.267,2007,"PARTICULAR","PRATA",1614913200000,"CPF","I/FORD FUSION","IBAITI","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo12",18.771,2001,"PARTICULAR","BRANCA",1640660400000,"CPF","RENAULT/SCENIC RXE 2.0","LONDRINA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo13",9.475,2000,"ALUGUEL","CINZA",1526612400000,"CNPJ","SCANIA/MPOLO PARAD GVLDR","MARAU","ONIBUS","RS","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo14",10.028,2023,"ALUGUEL","PRETA",1670986800000,"CNPJ","SCANIA/COMIL CAMPIONE DD","CAMPO MOURAO","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo15",26.776,2014,"PARTICULAR","PRATA",1650596400000,"CPF","I/LIFAN X60 1.8L VVT","FOZ DO IGUACU","CAMIONETA","PR","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo16",8.241,2015,"ALUGUEL","BRANCA",1418004000000,"CNPJ","SCANIA/MPOLO PARADISO DD","FLORIANOPOLIS","ONIBUS","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo17",6.559,1988,"ALUGUEL","BRANCA",1212980400000,"CNPJ","SCANIA/K112 CL","SAO PAULO","ONIBUS","SP","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo18",169.966,1996,"PARTICULAR","PRATA",1243220400000,"CPF","GM/VECTRA GLS","UMUARAMA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo19",11.889,2023,"PARTICULAR","AZUL",1727838000000,"CNPJ","HYUNDAI/HB20 10M COMFORT","FRAIBURGO","AUTOMOVEL","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo20",6.226,2022,"PARTICULAR","BRANCA",1660878000000,"CNPJ","I/FIAT CRONOS DRIVE 1.3","BELO HORIZONTE","AUTOMOVEL","MG","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",1
"veiculo21",8.745,2023,"PARTICULAR","PRETA",1680490800000,"CNPJ","VW/T CROSS CL TSI","SAO PAULO","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo22",7.637,2006,"PARTICULAR","PRETA",1723690800000,"CPF","FIAT/PALIO ELX FLEX","SANTA CRUZ DO RIO PARDO","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo23",6.921,2008,"ALUGUEL","PRATA",1710730800000,"CNPJ","VOLVO/MPOLO PARADISO LDR","GENTIL","ONIBUS","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo24",29.718,2007,"ALUGUEL","BRANCA",1710126000000,"CPF","VOLVO/MPOLO PARADISO LDR","SANTA RITA DO ITUETO","ONIBUS","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo25",2.804,2009,"PARTICULAR","BRANCA",1447120800000,"CPF","FIAT/PALIO FIRE FLEX","TEUTONIA","AUTOMOVEL","RS","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo26",7.013,2022,"PARTICULAR","BRANCA",1640833200000,"CNPJ","RENAULT/LOGAN ZEN10MT","PALHOCA","AUTOMOVEL","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo27",4.848,2017,"ALUGUEL","FANTASIA",1720494000000,"CNPJ","VOLVO/COMIL CAMPIONE DD","CAMPO MOURAO","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo28",17.134,2019,"PARTICULAR","AZUL",1640833200000,"CNPJ","JEEP/COMPASS LIMITED D","SAO JOSE","UTILITARIO","SC","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo29",41.791,2012,"PARTICULAR","PRETA",1582772400000,"CPF","CHEVROLET/CELTA 1.0L LS","CURITIBA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
